standard_node_id,srandard_node_id,node_id,node_label,node_type,id,label,type,agent_entity_type,norm_carcinogen_class,carcinogen_class_normalized,carcinogen_class_source,class,class_source,chemont_class,chemont_superclass,chemont_kingdom,iarc_group,pubchem_cid,inchikey,casrn
IARC_N_Nitrosodi_n_butylamine,IARC_N_Nitrosodi_n_butylamine,IARC_N_Nitrosodi_n_butylamine,N-Nitrosodi-n-butylamine,Carcinogen,IARC_N_Nitrosodi_n_butylamine,N-Nitrosodi-n-butylamine,Carcinogen,Unknown,Nitrosamine,Nitrosamine,rules,Nitrosamine,rules,Organonitrogen compounds,Organic nitrogen compounds,Organic compounds,Group 2B,13542,YGJHZCLPZAZIHH-UHFFFAOYSA-N,924-16-3
IARC_N_Nitrosodi_n_propylamine,IARC_N_Nitrosodi_n_propylamine,IARC_N_Nitrosodi_n_propylamine,N-Nitrosodi-n-propylamine,Carcinogen,IARC_N_Nitrosodi_n_propylamine,N-Nitrosodi-n-propylamine,Carcinogen,Unknown,Nitrosamine,Nitrosamine,rules,Nitrosamine,rules,Organonitrogen compounds,Organic nitrogen compounds,Organic compounds,Group 2B,12130,YLKFDHTUAUWZPQ-UHFFFAOYSA-N,621-64-7
IARC_N_Nitrosodiethanolamine,IARC_N_Nitrosodiethanolamine,IARC_N_Nitrosodiethanolamine,N-Nitrosodiethanolamine,Carcinogen,IARC_N_Nitrosodiethanolamine,N-Nitrosodiethanolamine,Carcinogen,Exposure,Exposure,Exposure,iarc_entity_type,Exposure,iarc_entity_type,,,,Group 2B,,,
IARC_N_Nitrosodiethylamine,IARC_N_Nitrosodiethylamine,IARC_N_Nitrosodiethylamine,N-Nitrosodiethylamine,Carcinogen,IARC_N_Nitrosodiethylamine,N-Nitrosodiethylamine,Carcinogen,Exposure,Exposure,Exposure,iarc_entity_type,Exposure,iarc_entity_type,,,,Group 2A,,,
IARC_N_Nitrosodimethylamine,IARC_N_Nitrosodimethylamine,IARC_N_Nitrosodimethylamine,N-Nitrosodimethylamine,Carcinogen,IARC_N_Nitrosodimethylamine,N-Nitrosodimethylamine,Carcinogen,Unknown,Nitrosamine,Nitrosamine,rules,Nitrosamine,rules,Organonitrogen compounds,Organic nitrogen compounds,Organic compounds,Group 2A,6124,UMFJAHHVKNCGLG-UHFFFAOYSA-N,62-75-9
IARC_N_Nitrosodiphenylamine,IARC_N_Nitrosodiphenylamine,IARC_N_Nitrosodiphenylamine,N-Nitrosodiphenylamine,Carcinogen,IARC_N_Nitrosodiphenylamine,N-Nitrosodiphenylamine,Carcinogen,Unknown,Nitrosamine,Nitrosamine,rules,Nitrosamine,rules,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 3,6838,UBUCNCOMADRQHX-UHFFFAOYSA-N,86-30-6
IARC_N_Nitrosofolic_acid,IARC_N_Nitrosofolic_acid,IARC_N_Nitrosofolic_acid,N-Nitrosofolic acid,Carcinogen,IARC_N_Nitrosofolic_acid,N-Nitrosofolic acid,Carcinogen,Chemical,Nitrosamine,Nitrosamine,rules,Nitrosamine,rules,Carboxylic acids and derivatives,Organic acids and derivatives,Organic compounds,Group 3,135565414,QPQDSWYBXPBZPJ-LBPRGKRZSA-N,29291-35-8
IARC_N_Nitrosoguvacine,IARC_N_Nitrosoguvacine,IARC_N_Nitrosoguvacine,N-Nitrosoguvacine,Carcinogen,IARC_N_Nitrosoguvacine,N-Nitrosoguvacine,Carcinogen,Unknown,Nitrosamine,Nitrosamine,rules,Nitrosamine,rules,,Alkaloids and derivatives,Organic compounds,Group 3,62102,XAZBVEFQMFZFEZ-UHFFFAOYSA-N,55557-01-2
IARC_N_Nitrosoguvacoline,IARC_N_Nitrosoguvacoline,IARC_N_Nitrosoguvacoline,N-Nitrosoguvacoline,Carcinogen,IARC_N_Nitrosoguvacoline,N-Nitrosoguvacoline,Carcinogen,Unknown,Nitrosamine,Nitrosamine,rules,Nitrosamine,rules,,Alkaloids and derivatives,Organic compounds,Group 3,62103,NXEUEKXJAAVKCT-UHFFFAOYSA-N,55557-02-3
IARC_N_Nitrosohydroxyproline,IARC_N_Nitrosohydroxyproline,IARC_N_Nitrosohydroxyproline,N-Nitrosohydroxyproline,Carcinogen,IARC_N_Nitrosohydroxyproline,N-Nitrosohydroxyproline,Carcinogen,Unknown,Nitrosamine,Nitrosamine,rules,Nitrosamine,rules,Carboxylic acids and derivatives,Organic acids and derivatives,Organic compounds,Group 3,61873,ABVBOWJCKJGCJM-DMTCNVIQSA-N,30310-80-6
IARC_N_Nitrosomethylethylamine,IARC_N_Nitrosomethylethylamine,IARC_N_Nitrosomethylethylamine,N-Nitrosomethylethylamine,Carcinogen,IARC_N_Nitrosomethylethylamine,N-Nitrosomethylethylamine,Carcinogen,Unknown,Nitrosamine,Nitrosamine,rules,Nitrosamine,rules,Organonitrogen compounds,Organic nitrogen compounds,Organic compounds,Group 2B,25418,RTDCJKARQCRONF-UHFFFAOYSA-N,10595-95-6
IARC_N_Nitrosomethylvinylamine,IARC_N_Nitrosomethylvinylamine,IARC_N_Nitrosomethylvinylamine,N-Nitrosomethylvinylamine,Carcinogen,IARC_N_Nitrosomethylvinylamine,N-Nitrosomethylvinylamine,Carcinogen,Unknown,Nitrosamine,Nitrosamine,rules,Nitrosamine,rules,Organonitrogen compounds,Organic nitrogen compounds,Organic compounds,Group 2B,20678,AWZVYNHQGTZJIH-UHFFFAOYSA-N,4549-40-0
IARC_N_Nitrosomorpholine,IARC_N_Nitrosomorpholine,IARC_N_Nitrosomorpholine,N-Nitrosomorpholine,Carcinogen,IARC_N_Nitrosomorpholine,N-Nitrosomorpholine,Carcinogen,Unknown,Nitrosamine,Nitrosamine,rules,Nitrosamine,rules,Oxazinanes,Organoheterocyclic compounds,Organic compounds,Group 2B,6046,ZKXDGKXYMTYWTB-UHFFFAOYSA-N,59-89-2
IARC_N_Nitrosopiperidine,IARC_N_Nitrosopiperidine,IARC_N_Nitrosopiperidine,N-Nitrosopiperidine,Carcinogen,IARC_N_Nitrosopiperidine,N-Nitrosopiperidine,Carcinogen,Unknown,Nitrosamine,Nitrosamine,rules,Nitrosamine,rules,Piperidines,Organoheterocyclic compounds,Organic compounds,Group 2B,7526,UWSDONTXWQOZFN-UHFFFAOYSA-N,100-75-4
IARC_N_Nitrosoproline,IARC_N_Nitrosoproline,IARC_N_Nitrosoproline,N-Nitrosoproline,Carcinogen,IARC_N_Nitrosoproline,N-Nitrosoproline,Carcinogen,Unknown,Nitrosamine,Nitrosamine,rules,Nitrosamine,rules,Carboxylic acids and derivatives,Organic acids and derivatives,Organic compounds,Group 3,10419304,WLKPHJWEIIAIFW-BYPYZUCNSA-N,7519-36-0
IARC_N_Nitrosopyrrolidine,IARC_N_Nitrosopyrrolidine,IARC_N_Nitrosopyrrolidine,N-Nitrosopyrrolidine,Carcinogen,IARC_N_Nitrosopyrrolidine,N-Nitrosopyrrolidine,Carcinogen,Unknown,Nitrosamine,Nitrosamine,rules,Nitrosamine,rules,Pyrrolidines,Organoheterocyclic compounds,Organic compounds,Group 2B,13591,WNYADZVDBIBLJJ-UHFFFAOYSA-N,930-55-2
IARC_N_Nitrososarcosine,IARC_N_Nitrososarcosine,IARC_N_Nitrososarcosine,N-Nitrososarcosine,Carcinogen,IARC_N_Nitrososarcosine,N-Nitrososarcosine,Carcinogen,Unknown,Nitrosamine,Nitrosamine,rules,Nitrosamine,rules,Carboxylic acids and derivatives,Organic acids and derivatives,Organic compounds,Group 2B,25811,HJMPSKKJHVWPBK-UHFFFAOYSA-N,13256-22-9
IARC_N_Phenyl_2_naphthylamine,IARC_N_Phenyl_2_naphthylamine,IARC_N_Phenyl_2_naphthylamine,N-Phenyl-2-naphthylamine,Carcinogen,IARC_N_Phenyl_2_naphthylamine,N-Phenyl-2-naphthylamine,Carcinogen,Chemical,Aromatic_Amine,Aromatic_Amine,classyfire,Aromatic_Amine,classyfire,Naphthalenes,Benzenoids,Organic compounds,Group 3,8679,KEQFTVQCIQJIQW-UHFFFAOYSA-N,135-88-6
IARC_N_Vinyl_2_pyrrolidone,IARC_N_Vinyl_2_pyrrolidone,IARC_N_Vinyl_2_pyrrolidone,N-Vinyl-2-pyrrolidone,Carcinogen,IARC_N_Vinyl_2_pyrrolidone,N-Vinyl-2-pyrrolidone,Carcinogen,Chemical,Pyrrolidine-2-ones,Pyrrolidine-2-ones,chemont_class,Pyrrolidine-2-ones,chemont_class,Pyrrolidines,Organoheterocyclic compounds,Organic compounds,Group 3,6917,WHNWPMSKXPGLAX-UHFFFAOYSA-N,88-12-0
IARC_N_4_5_Nitro_2_furyl_2_thiazolyl_acetamide,IARC_N_4_5_Nitro_2_furyl_2_thiazolyl_acetamide,IARC_N_4_5_Nitro_2_furyl_2_thiazolyl_acetamide,N-[4-(5-Nitro-2-furyl)-2-thiazolyl]acetamide,Carcinogen,IARC_N_4_5_Nitro_2_furyl_2_thiazolyl_acetamide,N-[4-(5-Nitro-2-furyl)-2-thiazolyl]acetamide,Carcinogen,Chemical,N-acetylarylamines,N-acetylarylamines,chemont_class,N-acetylarylamines,chemont_class,Organonitrogen compounds,Organic nitrogen compounds,Organic compounds,Group 2B,10753,GYRMPDLIHUXUIG-UHFFFAOYSA-N,531-82-8
IARC_Opisthorchis_felineus_infection_with,IARC_Opisthorchis_felineus_infection_with,IARC_Opisthorchis_felineus_infection_with,Opisthorchis felineus (infection with),Carcinogen,IARC_Opisthorchis_felineus_infection_with,Opisthorchis felineus (infection with),Carcinogen,BiologicalAgent,BiologicalAgent,BiologicalAgent,iarc_entity_type,BiologicalAgent,iarc_entity_type,,,,Group 3,,,
IARC_Opisthorchis_viverrini_infection_with,IARC_Opisthorchis_viverrini_infection_with,IARC_Opisthorchis_viverrini_infection_with,Opisthorchis viverrini (infection with),Carcinogen,IARC_Opisthorchis_viverrini_infection_with,Opisthorchis viverrini (infection with),Carcinogen,BiologicalAgent,BiologicalAgent,BiologicalAgent,iarc_entity_type,BiologicalAgent,iarc_entity_type,,,,Group 1,,,
IARC_Schistosoma_haematobium_infection_with,IARC_Schistosoma_haematobium_infection_with,IARC_Schistosoma_haematobium_infection_with,Schistosoma haematobium (infection with),Carcinogen,IARC_Schistosoma_haematobium_infection_with,Schistosoma haematobium (infection with),Carcinogen,BiologicalAgent,BiologicalAgent,BiologicalAgent,iarc_entity_type,BiologicalAgent,iarc_entity_type,,,,Group 1,,,
IARC_Schistosoma_japonicum_infection_with,IARC_Schistosoma_japonicum_infection_with,IARC_Schistosoma_japonicum_infection_with,Schistosoma japonicum (infection with),Carcinogen,IARC_Schistosoma_japonicum_infection_with,Schistosoma japonicum (infection with),Carcinogen,BiologicalAgent,BiologicalAgent,BiologicalAgent,iarc_entity_type,BiologicalAgent,iarc_entity_type,,,,Group 2B,,,
IARC_Schistosoma_mansoni_infection_with,IARC_Schistosoma_mansoni_infection_with,IARC_Schistosoma_mansoni_infection_with,Schistosoma mansoni (infection with),Carcinogen,IARC_Schistosoma_mansoni_infection_with,Schistosoma mansoni (infection with),Carcinogen,BiologicalAgent,BiologicalAgent,BiologicalAgent,iarc_entity_type,BiologicalAgent,iarc_entity_type,,,,Group 3,,,
IARC_cis_9_10_Epoxystearic_acid,IARC_cis_9_10_Epoxystearic_acid,IARC_cis_9_10_Epoxystearic_acid,"cis-9,10-Epoxystearic acid",Carcinogen,IARC_cis_9_10_Epoxystearic_acid,"cis-9,10-Epoxystearic acid",Carcinogen,Chemical,Alkylating,Alkylating,classyfire,Alkylating,classyfire,Fatty Acyls,Lipids and lipid-like molecules,Organic compounds,Group 3,119250,IMYZYCNQZDBZBQ-SJORKVTESA-N,24560-98-3
IARC_d_Limonene,IARC_d_Limonene,IARC_d_Limonene,d-Limonene,Carcinogen,IARC_d_Limonene,d-Limonene,Carcinogen,Unknown,Menthane monoterpenoids,Menthane monoterpenoids,chemont_class,Menthane monoterpenoids,chemont_class,Prenol lipids,Lipids and lipid-like molecules,Organic compounds,Group 3,440917,XMGQYMWWDOXHJM-JTQLQIEISA-N,5989-27-5
IARC_meta_Cresidine,IARC_meta_Cresidine,IARC_meta_Cresidine,meta-Cresidine,Carcinogen,IARC_meta_Cresidine,meta-Cresidine,Carcinogen,Unknown,Aromatic_Amine,Aromatic_Amine,classyfire,Aromatic_Amine,classyfire,Phenol ethers,Benzenoids,Organic compounds,Group 3,7610,CDGNLUSBENXDGG-UHFFFAOYSA-N,102-50-1
IARC_meta_Dichlorobenzene,IARC_meta_Dichlorobenzene,IARC_meta_Dichlorobenzene,meta-Dichlorobenzene,Carcinogen,IARC_meta_Dichlorobenzene,meta-Dichlorobenzene,Carcinogen,Unknown,Solvent,Solvent,rules,Solvent,rules,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 3,10943,ZPQOPVIELGIULI-UHFFFAOYSA-N,541-73-1
IARC_meta_Phenylenediamine,IARC_meta_Phenylenediamine,IARC_meta_Phenylenediamine,meta-Phenylenediamine,Carcinogen,IARC_meta_Phenylenediamine,meta-Phenylenediamine,Carcinogen,Unknown,Aromatic_Amine,Aromatic_Amine,classyfire,Aromatic_Amine,classyfire,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 3,7935,WZCQRUWWHSTZEM-UHFFFAOYSA-N,108-45-2
IARC_n_Butyl_acrylate,IARC_n_Butyl_acrylate,IARC_n_Butyl_acrylate,n-Butyl acrylate,Carcinogen,IARC_n_Butyl_acrylate,n-Butyl acrylate,Carcinogen,Unknown,Acrylic acid esters,Acrylic acid esters,chemont_class,Acrylic acid esters,chemont_class,Carboxylic acids and derivatives,Organic acids and derivatives,Organic compounds,Group 3,8846,CQEYYJKEWSMYFG-UHFFFAOYSA-N,141-32-2
IARC_n_Propyl_carbamate,IARC_n_Propyl_carbamate,IARC_n_Propyl_carbamate,n-Propyl carbamate,Carcinogen,IARC_n_Propyl_carbamate,n-Propyl carbamate,Carcinogen,Exposure,Exposure,Exposure,iarc_entity_type,Exposure,iarc_entity_type,,,,Group 3,,,
IARC_ortho_Aminoazotoluene,IARC_ortho_Aminoazotoluene,IARC_ortho_Aminoazotoluene,ortho-Aminoazotoluene,Carcinogen,IARC_ortho_Aminoazotoluene,ortho-Aminoazotoluene,Carcinogen,Unknown,Aromatic_Amine,Aromatic_Amine,classyfire,Aromatic_Amine,classyfire,Azobenzenes,Organoheterocyclic compounds,Organic compounds,Group 2B,7340,PFRYFZZSECNQOL-UHFFFAOYSA-N,97-56-3
IARC_ortho_Anisidine_see_also_ortho_Anisidine_hydrochloride,IARC_ortho_Anisidine_see_also_ortho_Anisidine_hydrochloride,IARC_ortho_Anisidine_see_also_ortho_Anisidine_hydrochloride,ortho-Anisidine (see also ortho-Anisidine hydrochloride),Carcinogen,IARC_ortho_Anisidine_see_also_ortho_Anisidine_hydrochloride,ortho-Anisidine (see also ortho-Anisidine hydrochloride),Carcinogen,Unknown,Aromatic_Amine,Aromatic_Amine,classyfire,Aromatic_Amine,classyfire,Phenol ethers,Benzenoids,Organic compounds,Group 2A,7000,VMPITZXILSNTON-UHFFFAOYSA-N,90-04-0
IARC_ortho_Anisidine_hydrochloride_see_also_ortho_Anisidine,IARC_ortho_Anisidine_hydrochloride_see_also_ortho_Anisidine,IARC_ortho_Anisidine_hydrochloride_see_also_ortho_Anisidine,ortho-Anisidine hydrochloride (see also ortho-Anisidine),Carcinogen,IARC_ortho_Anisidine_hydrochloride_see_also_ortho_Anisidine,ortho-Anisidine hydrochloride (see also ortho-Anisidine),Carcinogen,Unknown,Aromatic_Amine,Aromatic_Amine,classyfire,Aromatic_Amine,classyfire,Phenol ethers,Benzenoids,Organic compounds,Group 2A,8638,XCZCWGVXRBJCCD-UHFFFAOYSA-N,134-29-2
IARC_ortho_Dichlorobenzene,IARC_ortho_Dichlorobenzene,IARC_ortho_Dichlorobenzene,ortho-Dichlorobenzene,Carcinogen,IARC_ortho_Dichlorobenzene,ortho-Dichlorobenzene,Carcinogen,Unknown,Solvent,Solvent,rules,Solvent,rules,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 3,7239,RFFLAFLAYFXFSW-UHFFFAOYSA-N,95-50-1
IARC_ortho_Phenylenediamine,IARC_ortho_Phenylenediamine,IARC_ortho_Phenylenediamine,ortho-Phenylenediamine,Carcinogen,IARC_ortho_Phenylenediamine,ortho-Phenylenediamine,Carcinogen,Unknown,Aromatic_Amine,Aromatic_Amine,classyfire,Aromatic_Amine,classyfire,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 2B,7243,GEYOCULIXLDCMW-UHFFFAOYSA-N,95-54-5
IARC_ortho_Phenylenediamine_dihydrochloride,IARC_ortho_Phenylenediamine_dihydrochloride,IARC_ortho_Phenylenediamine_dihydrochloride,ortho-Phenylenediamine dihydrochloride,Carcinogen,IARC_ortho_Phenylenediamine_dihydrochloride,ortho-Phenylenediamine dihydrochloride,Carcinogen,Unknown,Aromatic_Amine,Aromatic_Amine,classyfire,Aromatic_Amine,classyfire,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 2B,11990,RIIWUGSYXOBDMC-UHFFFAOYSA-N,615-28-1
IARC_ortho_Phenylphenol,IARC_ortho_Phenylphenol,IARC_ortho_Phenylphenol,ortho-Phenylphenol,Carcinogen,IARC_ortho_Phenylphenol,ortho-Phenylphenol,Carcinogen,Unknown,Solvent,Solvent,classyfire,Solvent,classyfire,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 3,7017,LLEMOWNGBBNAJR-UHFFFAOYSA-N,90-43-7
IARC_ortho_Toluidine,IARC_ortho_Toluidine,IARC_ortho_Toluidine,ortho-Toluidine,Carcinogen,IARC_ortho_Toluidine,ortho-Toluidine,Carcinogen,Unknown,Aromatic_Amine,Aromatic_Amine,classyfire,Aromatic_Amine,classyfire,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 1,7242,RNVCVTLRINQCPJ-UHFFFAOYSA-N,95-53-4
IARC_para_Aminoazobenzene,IARC_para_Aminoazobenzene,IARC_para_Aminoazobenzene,para-Aminoazobenzene,Carcinogen,IARC_para_Aminoazobenzene,para-Aminoazobenzene,Carcinogen,Unknown,Solvent,Solvent,rules,Solvent,rules,Azobenzenes,Organoheterocyclic compounds,Organic compounds,Group 2B,6051,QPQKUYVSJWQSDY-UHFFFAOYSA-N,60-09-3
IARC_para_Aminobenzoic_acid,IARC_para_Aminobenzoic_acid,IARC_para_Aminobenzoic_acid,para-Aminobenzoic acid,Carcinogen,IARC_para_Aminobenzoic_acid,para-Aminobenzoic acid,Carcinogen,Chemical,Aromatic_Amine,Aromatic_Amine,classyfire,Aromatic_Amine,classyfire,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 3,978,ALYNCZNDIQEVRV-UHFFFAOYSA-N,150-13-0
IARC_para_Anisidine,IARC_para_Anisidine,IARC_para_Anisidine,para-Anisidine,Carcinogen,IARC_para_Anisidine,para-Anisidine,Carcinogen,Unknown,Aromatic_Amine,Aromatic_Amine,classyfire,Aromatic_Amine,classyfire,Phenol ethers,Benzenoids,Organic compounds,Group 3,7732,BHAAPTBBJKJZER-UHFFFAOYSA-N,104-94-9
IARC_para_Aramid_fibrils,IARC_para_Aramid_fibrils,IARC_para_Aramid_fibrils,para-Aramid fibrils,Carcinogen,IARC_para_Aramid_fibrils,para-Aramid fibrils,Carcinogen,Unknown,Unknown,Unknown,unknown,Unknown,unknown,,,,Group 3,,,24938-64-5
IARC_para_Benzoquinone_dioxime,IARC_para_Benzoquinone_dioxime,IARC_para_Benzoquinone_dioxime,para-Benzoquinone dioxime,Carcinogen,IARC_para_Benzoquinone_dioxime,para-Benzoquinone dioxime,Carcinogen,Unknown,Solvent,Solvent,classyfire,Solvent,classyfire,N-phenylhydroxylamines,Benzenoids,Organic compounds,Group 3,7737,DZCCLNYLUGNUKQ-UHFFFAOYSA-N,105-11-3
IARC_para_Chloroaniline,IARC_para_Chloroaniline,IARC_para_Chloroaniline,para-Chloroaniline,Carcinogen,IARC_para_Chloroaniline,para-Chloroaniline,Carcinogen,Unknown,Aromatic_Amine,Aromatic_Amine,classyfire,Aromatic_Amine,classyfire,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 2B,7812,QSNSCYSYFYORTR-UHFFFAOYSA-N,106-47-8
IARC_para_Cresidine,IARC_para_Cresidine,IARC_para_Cresidine,para-Cresidine,Carcinogen,IARC_para_Cresidine,para-Cresidine,Carcinogen,Unknown,Aromatic_Amine,Aromatic_Amine,classyfire,Aromatic_Amine,classyfire,Phenol ethers,Benzenoids,Organic compounds,Group 2B,8445,WXWCDTXEKCVRRO-UHFFFAOYSA-N,120-71-8
IARC_para_Dichlorobenzene,IARC_para_Dichlorobenzene,IARC_para_Dichlorobenzene,para-Dichlorobenzene,Carcinogen,IARC_para_Dichlorobenzene,para-Dichlorobenzene,Carcinogen,Unknown,Solvent,Solvent,rules,Solvent,rules,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 2B,4685,OCJBOOLMMGQPQU-UHFFFAOYSA-N,106-46-7
IARC_para_Dimethylaminoazobenzene,IARC_para_Dimethylaminoazobenzene,IARC_para_Dimethylaminoazobenzene,para-Dimethylaminoazobenzene,Carcinogen,IARC_para_Dimethylaminoazobenzene,para-Dimethylaminoazobenzene,Carcinogen,Unknown,Solvent,Solvent,rules,Solvent,rules,Azobenzenes,Organoheterocyclic compounds,Organic compounds,Group 2B,6053,JCYPECIVGRXBMO-UHFFFAOYSA-N,60-11-7
IARC_para_Dimethylaminoazobenzenediazo_sodium_sulfonate,IARC_para_Dimethylaminoazobenzenediazo_sodium_sulfonate,IARC_para_Dimethylaminoazobenzenediazo_sodium_sulfonate,para-Dimethylaminoazobenzenediazo sodium sulfonate,Carcinogen,IARC_para_Dimethylaminoazobenzenediazo_sodium_sulfonate,para-Dimethylaminoazobenzenediazo sodium sulfonate,Carcinogen,Unknown,Solvent,Solvent,rules,Solvent,rules,Organonitrogen compounds,Organic nitrogen compounds,Organic compounds,Group 3,23668198,IWDQPCIQCXRBQP-UHFFFAOYSA-M,140-56-7
IARC_para_Nitroanisole,IARC_para_Nitroanisole,IARC_para_Nitroanisole,para-Nitroanisole,Carcinogen,IARC_para_Nitroanisole,para-Nitroanisole,Carcinogen,Unknown,Aromatic_Amine,Aromatic_Amine,classyfire,Aromatic_Amine,classyfire,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 2B,7485,BNUHAJGCKIQFGE-UHFFFAOYSA-N,100-17-4
IARC_para_Nitrosodiphenylamine,IARC_para_Nitrosodiphenylamine,IARC_para_Nitrosodiphenylamine,para-Nitrosodiphenylamine,Carcinogen,IARC_para_Nitrosodiphenylamine,para-Nitrosodiphenylamine,Carcinogen,Unknown,Nitrosamine,Nitrosamine,rules,Nitrosamine,rules,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 3,9074,OIJHFHYPXWSVPF-UHFFFAOYSA-N,156-10-5
IARC_para_Phenylenediamine,IARC_para_Phenylenediamine,IARC_para_Phenylenediamine,para-Phenylenediamine,Carcinogen,IARC_para_Phenylenediamine,para-Phenylenediamine,Carcinogen,Unknown,Aromatic_Amine,Aromatic_Amine,classyfire,Aromatic_Amine,classyfire,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 3,7814,CBCKQZAAMUWICA-UHFFFAOYSA-N,106-50-3
IARC_para_Quinone,IARC_para_Quinone,IARC_para_Quinone,para-Quinone,Carcinogen,IARC_para_Quinone,para-Quinone,Carcinogen,Unknown,P-benzoquinones,P-benzoquinones,chemont_class,P-benzoquinones,chemont_class,Organooxygen compounds,Organic oxygen compounds,Organic compounds,Group 3,4650,AZQWKYJCGOJGHM-UHFFFAOYSA-N,106-51-4
IARC_trans_1_4_Dichlorobutene,IARC_trans_1_4_Dichlorobutene,IARC_trans_1_4_Dichlorobutene,"trans-1,4-Dichlorobutene",Carcinogen,IARC_trans_1_4_Dichlorobutene,"trans-1,4-Dichlorobutene",Carcinogen,Unknown,Organochlorine,Organochlorine,classyfire,Organochlorine,classyfire,Organochlorides,Organohalogen compounds,Organic compounds,Group 3,642197,FQDIANVAWVHZIR-OWOJBTEDSA-N,110-57-6
IARC_trans_2_Dimethylamino_methylimino_5_2_5_nitro_2_furyl_vinyl_1_3_4_oxad,IARC_trans_2_Dimethylamino_methylimino_5_2_5_nitro_2_furyl_vinyl_1_3_4_oxad,IARC_trans_2_Dimethylamino_methylimino_5_2_5_nitro_2_furyl_vinyl_1_3_4_oxad,"trans-2-[(Dimethylamino)methylimino]-5-[2-(5-nitro-2-furyl)-vinyl]-1,3,4-oxadiazole",Carcinogen,IARC_trans_2_Dimethylamino_methylimino_5_2_5_nitro_2_furyl_vinyl_1_3_4_oxad,"trans-2-[(Dimethylamino)methylimino]-5-[2-(5-nitro-2-furyl)-vinyl]-1,3,4-oxadiazole",Carcinogen,Chemical,Nitrofurans,Nitrofurans,chemont_class,Nitrofurans,chemont_class,Furans,Organoheterocyclic compounds,Organic compounds,Group 2B,9570442,QLKWZSDBTUTCIJ-PPRDQHCASA-N,25962-77-0
IARC_A_alpha_C_2_Amino_9H_pyrido_2_3_b_indole,IARC_A_alpha_C_2_Amino_9H_pyrido_2_3_b_indole,IARC_A_alpha_C_2_Amino_9H_pyrido_2_3_b_indole,"A-alpha-C (2-Amino-9H-pyrido[2,3-b]indole)",Carcinogen,IARC_A_alpha_C_2_Amino_9H_pyrido_2_3_b_indole,"A-alpha-C (2-Amino-9H-pyrido[2,3-b]indole)",Carcinogen,Unknown,Alpha carbolines,Alpha carbolines,chemont_class,Alpha carbolines,chemont_class,Indoles and derivatives,Organoheterocyclic compounds,Organic compounds,Group 2B,62805,FJTNLJLPLJDTRM-UHFFFAOYSA-N,26148-68-5
IARC_AF_2_2_2_Furyl_3_5_nitro_2_furyl_acrylamide,IARC_AF_2_2_2_Furyl_3_5_nitro_2_furyl_acrylamide,IARC_AF_2_2_2_Furyl_3_5_nitro_2_furyl_acrylamide,AF-2 [2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide],Carcinogen,IARC_AF_2_2_2_Furyl_3_5_nitro_2_furyl_acrylamide,AF-2 [2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide],Carcinogen,Chemical,Alkylating,Alkylating,rules,Alkylating,rules,Furans,Organoheterocyclic compounds,Organic compounds,Group 2B,5280707,LYAHJFZLDZDIOH-VURMDHGXSA-N,3688-53-7
IARC_Acenaphthene,IARC_Acenaphthene,IARC_Acenaphthene,Acenaphthene,Carcinogen,IARC_Acenaphthene,Acenaphthene,Carcinogen,Unknown,Naphthalenes,Naphthalenes,chemont_class,Naphthalenes,chemont_class,Naphthalenes,Benzenoids,Organic compounds,Group 3,6734,CWRYPZZKDGJXCA-UHFFFAOYSA-N,83-32-9
IARC_Acepyrene_3_4_dihydrocyclopenta_cd_pyrene,IARC_Acepyrene_3_4_dihydrocyclopenta_cd_pyrene,IARC_Acepyrene_3_4_dihydrocyclopenta_cd_pyrene,"Acepyrene (3,4-dihydrocyclopenta[cd]pyrene)",Carcinogen,IARC_Acepyrene_3_4_dihydrocyclopenta_cd_pyrene,"Acepyrene (3,4-dihydrocyclopenta[cd]pyrene)",Carcinogen,Chemical,Pyrenes,Pyrenes,chemont_class,Pyrenes,chemont_class,Pyrenes,Benzenoids,Organic compounds,Group 3,33743,BZCXQYVNASLLQO-UHFFFAOYSA-N,27208-37-3
IARC_Acetaldehyde,IARC_Acetaldehyde,IARC_Acetaldehyde,Acetaldehyde,Carcinogen,IARC_Acetaldehyde,Acetaldehyde,Carcinogen,Unknown,Aldehyde,Aldehyde,rules,Aldehyde,rules,Organooxygen compounds,Organic oxygen compounds,Organic compounds,Group 2B,177,IKHGUXGNUITLKF-UHFFFAOYSA-N,75-07-0
