standard_node_id,srandard_node_id,node_id,node_label,node_type,id,label,type,agent_entity_type,norm_carcinogen_class,carcinogen_class_normalized,carcinogen_class_source,class,class_source,chemont_class,chemont_superclass,chemont_kingdom,iarc_group,pubchem_cid,inchikey,casrn
IARC_2_Nitropropane,IARC_2_Nitropropane,IARC_2_Nitropropane,2-Nitropropane,Carcinogen,IARC_2_Nitropropane,2-Nitropropane,Carcinogen,Unknown,C-nitro compounds,C-nitro compounds,chemont_class,C-nitro compounds,chemont_class,"Allyl-type 1,3-dipolar organic compounds","Organic 1,3-dipolar compounds",Organic compounds,Group 2B,398,FGLBSLMDCBOPQK-UHFFFAOYSA-N,79-46-9
IARC_2_Nitropyrene,IARC_2_Nitropyrene,IARC_2_Nitropyrene,2-Nitropyrene,Carcinogen,IARC_2_Nitropyrene,2-Nitropyrene,Carcinogen,Unknown,Pyrenes,Pyrenes,chemont_class,Pyrenes,chemont_class,Pyrenes,Benzenoids,Organic compounds,Group 3,13090,MAZCGYFIOOIVHE-UHFFFAOYSA-N,789-07-1
IARC_2_Nitrotoluene,IARC_2_Nitrotoluene,IARC_2_Nitrotoluene,2-Nitrotoluene,Carcinogen,IARC_2_Nitrotoluene,2-Nitrotoluene,Carcinogen,Unknown,Solvent,Solvent,classyfire,Solvent,classyfire,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 2A,6944,PLAZTCDQAHEYBI-UHFFFAOYSA-N,88-72-2
IARC_3_3_Dichloro_4_4_diaminodiphenyl_ether,IARC_3_3_Dichloro_4_4_diaminodiphenyl_ether,IARC_3_3_Dichloro_4_4_diaminodiphenyl_ether,"3,3'-Dichloro-4,4'-diaminodiphenyl ether",Carcinogen,IARC_3_3_Dichloro_4_4_diaminodiphenyl_ether,"3,3'-Dichloro-4,4'-diaminodiphenyl ether",Carcinogen,Chemical,Aromatic_Amine,Aromatic_Amine,classyfire,Aromatic_Amine,classyfire,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 2B,34239,IVVWBIJMWBNKFV-UHFFFAOYSA-N,28434-86-8
IARC_3_3_Dichlorobenzidine,IARC_3_3_Dichlorobenzidine,IARC_3_3_Dichlorobenzidine,"3,3'-Dichlorobenzidine",Carcinogen,IARC_3_3_Dichlorobenzidine,"3,3'-Dichlorobenzidine",Carcinogen,Unknown,Aromatic_Amine,Aromatic_Amine,rules,Aromatic_Amine,rules,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 2B,7070,HUWXDEQWWKGHRV-UHFFFAOYSA-N,91-94-1
IARC_3_3_Dimethoxybenzidine_ortho_Dianisidine,IARC_3_3_Dimethoxybenzidine_ortho_Dianisidine,IARC_3_3_Dimethoxybenzidine_ortho_Dianisidine,"3,3'-Dimethoxybenzidine (ortho-Dianisidine)",Carcinogen,IARC_3_3_Dimethoxybenzidine_ortho_Dianisidine,"3,3'-Dimethoxybenzidine (ortho-Dianisidine)",Carcinogen,Unknown,Aromatic_Amine,Aromatic_Amine,rules,Aromatic_Amine,rules,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 2B,8411,JRBJSXQPQWSCCF-UHFFFAOYSA-N,119-90-4
IARC_3_3_Dimethoxybenzidine_4_4_diisocyanate,IARC_3_3_Dimethoxybenzidine_4_4_diisocyanate,IARC_3_3_Dimethoxybenzidine_4_4_diisocyanate,"3,3'-Dimethoxybenzidine-4,4'-diisocyanate",Carcinogen,IARC_3_3_Dimethoxybenzidine_4_4_diisocyanate,"3,3'-Dimethoxybenzidine-4,4'-diisocyanate",Carcinogen,Unknown,Aromatic_Amine,Aromatic_Amine,rules,Aromatic_Amine,rules,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 3,7069,QZWKEPYTBWZJJA-UHFFFAOYSA-N,91-93-0
IARC_3_3_Dimethylbenzidine_ortho_Tolidine,IARC_3_3_Dimethylbenzidine_ortho_Tolidine,IARC_3_3_Dimethylbenzidine_ortho_Tolidine,"3,3'-Dimethylbenzidine (ortho-Tolidine)",Carcinogen,IARC_3_3_Dimethylbenzidine_ortho_Tolidine,"3,3'-Dimethylbenzidine (ortho-Tolidine)",Carcinogen,Unknown,Aromatic_Amine,Aromatic_Amine,rules,Aromatic_Amine,rules,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 2B,8413,NUIURNJTPRWVAP-UHFFFAOYSA-N,119-93-7
IARC_3_3_4_4_Tetrachloroazobenzene,IARC_3_3_4_4_Tetrachloroazobenzene,IARC_3_3_4_4_Tetrachloroazobenzene,"3,3′,4,4′-Tetrachloroazobenzene",Carcinogen,IARC_3_3_4_4_Tetrachloroazobenzene,"3,3′,4,4′-Tetrachloroazobenzene",Carcinogen,Unknown,Solvent,Solvent,rules,Solvent,rules,Azobenzenes,Organoheterocyclic compounds,Organic compounds,Group 2A,26423,SOBGIMQKWDUEPY-UHFFFAOYSA-N,14047-09-7
IARC_3_3_4_4_5_Pentachlorobiphenyl_PCB_126,IARC_3_3_4_4_5_Pentachlorobiphenyl_PCB_126,IARC_3_3_4_4_5_Pentachlorobiphenyl_PCB_126,"3,3’,4,4’,5-Pentachlorobiphenyl (PCB-126)",Carcinogen,IARC_3_3_4_4_5_Pentachlorobiphenyl_PCB_126,"3,3’,4,4’,5-Pentachlorobiphenyl (PCB-126)",Carcinogen,Unknown,PCB,PCB,rules,PCB,rules,Benzene and substituted derivatives,Benzenoids,Organic compounds,Group 1,63090,REHONNLQRWTIFF-UHFFFAOYSA-N,57465-28-8
